url,name,description,tags,accepted_groups
https://getinvolved.tamu.edu/org/afl,afl,The purpose of this organization is to benefit Ashton's Angels. Ashton's Angels is a non-profit organization that provides prosthetics to people who cannot afford them. We do this through a main fundraising event every semester and many smaller fundraising events.,"community service, fundraising, healthcare, medical assistance, nonprofit, prosthetics","Undergraduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/2881,2881,"Aggies Delivering Smiles (ADS) is dedicated to enhancing oral hygiene in the Bryan/College Station area. We provide free oral hygiene education and community engagement activities for a specific target population. Education and engagement is catered and crafted to meet the requirements of the population that we aim to serve. Overall we aim to improve access to dental care and create a brighter, healthier future for all. We are aggies delivering bright and healthy smiles in Bryan/College Station.",,Undergraduate Students
https://getinvolved.tamu.edu/org/226,226,The Aggieland Orchestra performs a variety of historic jazz tunes and dance music to live audiences. Members are selected from the Fightin' Texas Aggie Band and Corps of Cadets.,"band, Corps of Cadets, dance, jazz, music, orchestra",Undergraduate Students
https://getinvolved.tamu.edu/org/awd,awd,"This group is designed to support students with disabilities who may be experiencing isolation or a lack of awareness from peers, faculty, or staff and would like to learn more about campus resources and disability advocacy.AWD aims to foster a Disability Community at Texas A&M for students through campus community engagement, advocacy, social events, and creating future generations of disability leaders.","awareness, disabilities, support","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/afht,afht,Raising awareness and funds to prevent human trafficking while serving the local communitymore info on our website: afht.org,"awareness, community service, fundraising, human rights, human trafficking, prevention","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Faculty/Staff"
https://getinvolved.tamu.edu/org/aab,aab,Connecting with women who love reading romance and cultivating a safe space for them to discuss their thoughts and opinions about it.,"book club, discussions, reading",Undergraduate Students
https://getinvolved.tamu.edu/org/agsl,agsl,"AggieSat Laboratory Student Space Program trains university students in systems engineering through hands-on experience in the design, assembly, testing, and operation of space and space-related systems. Our program is dedicated to the core value of excellence, as demonstrated by the far-reaching contributions of our alumni across America’s space, defense, and intelligence communities.","build, design, hands-on experience, operation, space-related systems, systems engineering, testing","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students"
https://getinvolved.tamu.edu/org/aggies-read,aggies-read,"Aggies Promoting Literacy (formerly Aggies Read est. 2015) is a volunteer organization at Texas A&M University. Our members are passionate about helping elementary students develop grade proficient confidence and strength as readers! Our partnerships with the Boys and Girls Club of the Brazos Valley and College Station Independent School District allow us to participate meaningfully in our Bryan/College Station community.Join APL to earn volunteer hours, attend book club and socials, and so much more!VISIT OUR WEBSITE BELOW FOR MORE INFORMATION!https://sites.google.com/view/aggies-promoting-literacy/home","book club, community service, elementary education, literacy, professional speakers, reading, volunteering","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/aggielandmariachi,aggielandmariachi,"This organization shall strive to serve, promote and make an impact in the community by enriching the environment with the Hispanic Heritage of a traditional mariachi ensemble.","ensemble, Hispanic, Mexican, music","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/aggiescreate,aggiescreate,The mission of Aggies Create is to provide students with the technical resources to design and innovate through real product design consultancy and student-run startups. These students work hands-on to develop real products that innovate the world around us.,"consulting, design, hands-on, innovation, product design, startups, technical resources","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/aft,aft,"Our mission is to comprehend, confirm, clarify, and convey the Truth with fellow Aggies from the Holy Bible, without any sort of bias. Comprehend: to understand the meaning accurately. Confirm: to verify that our understanding is correct and well-founded Clarify: to make our understanding precise Convey: to share the Truth with as many as possible","Bible study, missions","Undergraduate Students, Graduate Students, Non-TAMU Individuals"
https://getinvolved.tamu.edu/org/aro,aro,"Aggies Reaching Out aims to support, educate, and inspire success and passion for further education in 8th grade students. Through interactive activities within small groups, we are able to provide information about financial aid, available scholarships, study tips for high school, and appropriate college preparation in order for them to reach their dreams, whether it be a four year college or a community college. Aggies Reaching Out strives to instill in 8th graders a sense of resourcefulness and a more thorough understanding of how academic ambition can better life for both them and their families.","academic support, college preparation, education, financial aid, mentoring, scholarships, study tips","Undergraduate Students, Graduate Students"
https://getinvolved.tamu.edu/org/246,246,"The Agricultural Economics Society (AES) is a student organization that is not defined by a unique specialization. AES is an organization which embodies Agricultural Economics in its entirety. As the representative of the national Agricultural & Applied Economics Association (AAEA), AES has evolved to be a dynamic, active, and all-inclusive student organization in the Department of Agricultural Economics at Texas A&M University.","agricultural economics, agriculture, economics",Undergraduate Students
https://getinvolved.tamu.edu/org/astep,astep,"We are A-STEP, a nonpartisan organization of graduate, undergraduate and professional students committed to bridging the gap between scientists, policy-makers, and the general public on scientific issues. Aggies in Science, Technology and Engineering Policy (A-STEP) has three main goals: 1. Advocacy: Communicating the importance of scientific research and endeavors to students, the community, government officials and funding agencies. 2. Professional Development: Allowing students to expand their career options by participating in science policy and interacting with professionals in this field and other areas. 3. Outreach: Fostering increased STEM education in the local and national communities through media, open house events, workshops and seminars.","advocacy, career path exploration, engineering, nonpartisan, outreach, professional development, research, science policy, seminars, STEM, technology, workshops",
https://getinvolved.tamu.edu/org/aggiespirit,aggiespirit,To provide AggieSpirit student employees with opportunities for personal and professional development and assist Transportation Services in the operations of the Transit unit.,"campus communities, campus involvement, career development, career opportunities, job opportunities, personal development, professional development, transportation","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/asap,asap,"Mission of ASAP is to engage, support and serve older adults in the Brazos Valley. This will be accomplished by providing awareness of resources to promote healthy aging, and to facilitate social engagement among older adults.","advocacy, aging, community engagement, healthy living, older adults, resources, service, support","Undergraduate Students, Professional Students, Graduate Students"
https://getinvolved.tamu.edu/org/aph,aph,"The purpose of this organization is to provide a place where students across a variety of healthcare-related fields can come together to advocate health education, advance students' careers through professional development, and participate in service activities throughout the community. Through our organization, students network with other students, professors, advisors, and professionals in health-related fields. Our philanthropy for the 2024-2025 school year is Aggie Miracle in which we participate in events to raise money for the local Children's Miracle Network Hospital. We will provide social events for our members to help them develop interpersonal skills and form stronger ties within the organization. Our organization will also offer opportunities for members to develop leadership skills. Professional events will also be provided, such as interview workshops, resume workshops, and speakers in a variety of healthcare fields. Each member will have individual responsibilities, as they will be required to do an appropriate share of organizing and overseeing events. Furthermore, our organization will offer numerous officer positions so that devoted members can broaden their responsibility and leadership skills. We accept anyone with plans on going into a health care-related field, such as public health, medical school, PT school, dental school, grad school, and vet school. For more information about our philanthropy please visit: https://www.aggiemiracle.com/","dentistry, healthcare, health education, interview preparation, leadership development, medical school, philanthropy, physical therapy, professional development, professional networking, public health, resumes, service, social events",
https://getinvolved.tamu.edu/org/aifa,aifa,"Aggies in Foreign Affairs is a professional development organization that enhances your career readiness in 4 ways: mentorship, networking, publications, and cross-cultural skills. AIFA accomplishes this through a mentorship program, former student career panel, publication opportunities through our student-run research journal, and a Global Student Dialogue.  AIFA is affiliated with the Bush School of Government and Public Service. Students of any major and classification are welcome to join. We do not charge dues, and all of our events are free to attend.","Bush School, career preparation, cross-cultural skills, global issues, government, mentorship, professional development, professional networking, publications, public service, research","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students, Faculty/Staff"
https://getinvolved.tamu.edu/org/axo,axo,"Alpha Chi Omega is founded on the values of sisterhood, leadership, and service. At its core, Alpha Chi Omega is committed to cultivating a strong bond among its members through authentic connections, shared experiences, and lifelong friendship. Our mission emphasizes empowering real, strong women to grow together and make a meaningful impact in our community. Through our philanthropy, Domestic Violence Awareness, we encourages members to use their voices and actions for the greater good, uniting their sisterhood with a shared purpose of compassion and positive change.","fine arts, morals, sisterhood, sororities",
https://getinvolved.tamu.edu/org/aed,aed,"Alpha Epsilon Delta provides an effective environment for exceptional pre-medical, pre-dental and other healthcare students to learn about their future occupation. We are the only pre-health honors society on campus and our main emphasis is to prepare our members for the challenging health field through various speakers, community service, and up to date tips on professional school application processes.","community service, healthcare, health field, honors programs, pre-dental, pre-health, pre-medical, professional schools",Undergraduate Students
https://getinvolved.tamu.edu/org/agr,agr,The purpose of Alpha Gamma Rho is to make better men and through them a better and broader agriculture. We are the only National Agricultural Fraternity devoted to the betterment of agriculture by surrounding members with influences leading to social and professional development.,"agriculture, fraternities, professional development, social development",Undergraduate Students
https://getinvolved.tamu.edu/org/ato,ato,"Alpha Tau Omega was founded September 11, 1865 at the Virginia Military Institute with the goal of bringing men of the north and south together in peace after the conclusion of the Civil War. The colors are azur and gold and the flower is the White Tea Rose. Alpha Tau Omega is unique in the fact that our values are based on Christian, as opposed to Greek, principles. Additionally, ATO is the only nationally recognized Leadership Development fraternity.","Bible study, brotherhood, campus involvement, Christian, collegiate tournaments, employment opportunities, fraternities, group events, leadership development, national recognition, professional development, social development",
https://getinvolved.tamu.edu/org/aotw,aotw,Texas A&M Album of the Week (AOTW) is a community of passionate students who are encouraged to broaden their sense of music appreciation while sharing their personal music tastes and experiences. Visit tamuaotw.com to get more info.,"inclusive, media studies, music, music appreciation, promoting art","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Faculty/Staff, Non-TAMU Individuals"
https://getinvolved.tamu.edu/org/alpha-omicron-pi,alpha-omicron-pi,"The object of the Fraternity shall be to encourage a spirit of Fraternity and love among its members; to stand at all times for character, dignity, scholarship, and college loyalty; to strive for and support the best interest of the colleges and universities in which chapters are installed, and in no way to disregard, injure, or sacrifice those interests for the sake of prestige or advancement of the Fraternity or any of its chapters. ""Inspire Ambition"" Sisters. Living our Values. Changing the Future.","character development, Inspire ambition, panhellenic, philanthropy, scholarships, sisterhood, sororities","Undergraduate Students, Graduate Students"
https://getinvolved.tamu.edu/org/apo,apo,"Alpha Phi Omega is the single most represented gender inclusive service organization in the United States. Since 1925, more than 525,000 members on over 375 campuses, continue to provide more service on more campuses than any other collegiate service organization.  It is the vision of Alpha Phi Omega to create inclusive communities for a more peaceful world in which to make a life, by developing leaders, uniting members through friendship and rendering service to all.","brotherhood, fraternities, friendships, leadership, service",
https://getinvolved.tamu.edu/org/a-phi-a,a-phi-a,"To uphold high scholastic standards, high moral character, brotherly love, respect and love for all mankind, and service to our communities through manly deeds.","character development, scholastic standards, service",Undergraduate Students
https://getinvolved.tamu.edu/org/adpi,adpi,"To promote the development of character through participation in community service, leadership, scholarship, and sisterhood building activities.","community service, leadership, scholarships, sisterhood","Undergraduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/aka,aka,"The purpose of Alpha Kappa Alpha Sorority, Incorporated is to cultivate and encourage high scholastic and ethical standards, to promote unity and friendship among college women, to study and help alleviate problems concerning girls and women, to maintain a progressive interest in college life, and to be of Service to All Mankind.","college life, ethics, friendships, scholastic standards, service, sororities, unity",Undergraduate Students
https://getinvolved.tamu.edu/org/aoe,aoe,"M I S S I O N S T A T E M E N T Alpha Omega Epsilon is a professional and social sorority founded in 1983 that promotes friendship, leadership and professionalism to all members of the organization, the community and our professions. V I S I O N S T A T E M E N T Alpha Omega Epsilon is the spirit of women in engineering and the technical sciences, devoted to an enriching and life-changing experience for our members. Members commit to a lifelong engagement with Alpha Omega Epsilon by reinforcing the bonds between each other and enhancing the experiences of future generations of engineers and technical scientists. The Sorority grows by developing successful members and instilling our core values in our membership. Our recognized and trusted brand represents the well-rounded engineer and technical scientist, inspiring pride in our members. Our infrastructure, business processes, and expansion efforts provide a sustained competitive advantage. And, our network of diverse and talented volunteers are aligned in the relentless pursuit of our common purpose. C O R E V A L U E S We value the INDIVIDUALITY of our Chapters and our members as this is what makes our family unique. We value RESPONSIBILITY by making decisions based upon good judgment, following through with those decisions and being held accountable for those decisions. We value the effect positive LEADERSHIP has on our Sorority and provide opportunities for leadership to develop and flourish. We value the PROFESSIONALISM of our members as we treat each other with the dignity and respect each of us deserves. We value our VOLUNTEERS who fulfill their obligations for the betterment of the Sorority. We value FRIENDSHIP by being loyal to each other, caring for each other and recognizing the value inherent in each individual member.","engineering, leadership, mentorship, professional development, professionalism, professional networking, sororities, STEM, technical Sciences","Undergraduate Students, Professional Students, Graduate Students"
https://getinvolved.tamu.edu/org/agsm,agsm,"This organization was put together to help students in Agricultural Systems Management to get to know those within the major and within the College of Agriculture through club events and activities. In addition, many agricultural companies network for new employees by meeting students at the monthly meetings, at which they are guest speakers.","agriculture, guest speakers, professional networking","Undergraduate Students, Professional Students, Part-Time Students, Distance/Remote Students"
https://getinvolved.tamu.edu/org/akpsi,akpsi,"Providing resources for enhancing the educational experience of future business leaders. Open to all majors, AKPsi is a wonderful organization that gets students in touch with successful business professionals and helps teach them important skills to thrive in a business environment.","business, leadership, professional networking, skill development","Undergraduate Students, Graduate Students"
https://getinvolved.tamu.edu/org/apm,apm,"To confer recognition upon the student of industrial engineering who has shown exceptional academic interests and abilities in his field. To encourage wherever possible any movement which will advance the best interest of industrial engineering education. To further unify the student body of the industrial engineering department in presenting its needs and ideas to the faculty. To create a closer student-faculty relationship by bringing together the needs and thoughts of both. To assist and cooperate with all organizations and persons working for the interest of industrial engineering. To benefit its members by the association and experience that can come from bringing together a group with similar interests, objectives, and abilities and to promote the professional welfare of all.","education, industrial engineering, professional development, professional networking, student-faculty relationship",
https://getinvolved.tamu.edu/org/aggieaephi,aggieaephi,"Above all else, Alpha Epsilon Phi inspires exemplary women who are: Enriched by sisterhood and unconditional friendships, Dedicated to selfless service and inspiring others, and Committed to intellectual growth and personal development. As a lifelong member of Alpha Epsilon Phi, I will: Respect our shared heritage and traditions, Exhibit high ideals and moral character, Fulfill expectations and responsibilities of membership, and Continually exemplify the values of beauty, strength and wisdom as embodied by the three columns of our insignia.","friendships, intellectual growth, leadership, personal development, service, sisterhood",
https://getinvolved.tamu.edu/org/alexanderhamiltonsociety,alexanderhamiltonsociety,"As a local chapter of the national organization of the Alexander Hamilton Society our purpose is stated as: ""The Alexander Hamilton Society (AHS) is an independent, non-partisan, not-for-profit organization dedicated to promoting constructive debate on basic principles and contemporary issues in foreign, economic, and national security policy."" This chapter's mission is to further the goals and purpose of the national organization of the Alexander Hamilton Society through speaker events to further knowledge and discussion of foreign, economic, and national security affairs among Texas A&M students especially within the fields of international relations, public policy, history, political science and economics.","debate, economic issues, economics, foreign policy, history, international relations, national security, political sciences, public policy, speaker events","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/akhmastani,akhmastani,The mission and purpose of this Indian Cultural Dance Team at Texas A&M University is to further promote and spread diversity of Indian Culture across campus. It gives students the opportunity to participate on a team performing all types of dances from different cultures throughout India and different styles that are used all around the world such as hip hop and contemporary.,"dance, diversity, Indian, performing","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/aemb,aemb,The purpose of the Texas A&M University Chapter of Alpha Eta Mu Beta is to recognize and promote excellence in Biomedical Engineering at Texas A&M. We bring into closer union and mark in an outstanding manner those Biomedical Engineers at Texas A&M who have manifested a deep interest and noted ability in their chosen life work. We strive to promote an understanding of Biomedical Engineering to others and to further the development of its members through wholesome activities beneficial to Texas A&M.,"biomedical engineering, engineering, excellence, professional development","Undergraduate Students, Graduate Students"
https://getinvolved.tamu.edu/org/anmccf,anmccf,"We provide worship service, seminar, and bible study inside TAMU campus to reach out Korean, US, and foreign students to spread Gospel around the world. We pray for the peace of all nations and also support foreign missionaries with prayer, offering, and volunteering.","Bible study, fellowship, international students, seminars, volunteering, worship",
https://getinvolved.tamu.edu/org/alphasigmaphi,alphasigmaphi,"The mission of Alpha Sigma Phi is to be the co-curricular and continuing organization of choice. The purpose of our fraternity is to Better the Man, through the creation and perpetuation of brotherhood founded upon the values of character: Silence, Charity, Purity, Honor, Patriotism.","brotherhood, character development, fraternities, leadership",
https://getinvolved.tamu.edu/org/alpfa,alpfa,"ALPFA is dedicated to empowering the Latino community by breaking down barriers and creating pathways’ for success. We are committed to cultivating an environment that attracts, develops, excites, and retains extraordinary individuals. Building not just better professionals, but better people","career development, community building, interview preparation, minorities, professional development, professional networking, resumes, self-confidence, social events","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/1479,1479,Our purpose is the abolition of speciesism and cruelty to human and nonhuman animals.,"animal cruelty, animal protection","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students, Faculty/Staff, Non-TAMU Individuals"
https://getinvolved.tamu.edu/org/ags-reach,ags-reach,"To create opportunities to give back to our Aggie community, build soft skills, host philanthropic events, and provide the unique experience of working closely alongside a nonprofit. Ags REACH will operate in partnership with local Bryan nonprofit, The REACH Project, which works to give back to the contracted, third-party workers that keep Texas A&M running. The REACH Project provides these community members with the resources required to acquire the skills and assets needed to achieve financial self-sufficiency, build transgenerational wealth, and prevail over the obstacles preventing them from achieving their fullest potential. It aims to do this in three sectors; health, education, and housing-- all of which are areas of life in which many of our contracted workers feel gaps. Within 5 years, The REACH Project plans to implement an affordable housing village with all of these services on site for any worker or community member to benefit from. Our goal as a student organization is to provide the manpower and variety of experience to help this to happen, ultimately aiming to empower as many people in our community as possible.","community outreach, community service, education, financial literacy, health, housing, nonprofit, philanthropy, volunteering","Undergraduate Students, Graduate Students"
https://getinvolved.tamu.edu/org/alpha-omega,alpha-omega,Alpha Omega is a student organization dedicated to helping students discover a dynamic relationship with God. We are a student ministry that focuses on living out the Bible and building deep friendships. We strive to be more like Jesus every day with the help of each other.,"Bible study, campus ministries, Christian, friendships","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students, Faculty/Staff, Non-TAMU Individuals"
https://getinvolved.tamu.edu/org/acsaggie,acsaggie,"The American Chemical Society-Student Affiliate Chapter (ACS-SAC) at Texas A&M University aims to serve the undergraduate scientific community by providing valuable resources for students interested in chemistry. We are dedicated to fostering a supportive environment where members can explore career opportunities in teaching, research, and healthcare-related fields. Our chapter connects students with industry and academic professionals to facilitate access to chemistry-related internships and Research Experiences for Undergraduates (REUs), engages in science outreach projects within the Bryan-College Station community, and organized social events to connect like-minded members. Additionally, our affiliation with the national American Chemical Society provides exclusive funding opportunities that encourage participation in regional and national ACS meetings, strengthening our network within the broader scientific community.","career opportunities, chemistry, healthcare, internships, professional networking, research, science outreach, scientific community, teachings",Undergraduate Students
https://getinvolved.tamu.edu/org/tamuafs,tamuafs,"Our mission and purpose is to: (a) promote the conservation, development, and wise use of the fisheries; (b) promote and evaluate the development and advancement of all branches of fisheries science and practice; (c) gather and disseminate to Chapter members, American Fisheries Society members, and the general public scientific, technical, and other information about fisheries science and practice through publications, meetings, and other forms of communication; (d) encourage the teaching of fisheries science and practice in colleges and universities and the continuing professional development of fisheries workers","colleges, communications, conservation, fisheries science, professional development, publications, scientific information, teachings, technical information","Undergraduate Students, Professional Students, Graduate Students"
https://getinvolved.tamu.edu/org/aci,aci,"The purpose of the organization shall be to provide a means of advancing the interests of the American Concrete Institute in Texas A&M University which includes advancing engineering and technical education, scientific investigation and research, and development of standards for design and construction incorporating concrete and related materials. The organization will also serve as an effective networking platform for student members to interact with professionals from the industry.","concrete, construction, design, engineering, professional networking, research, scientific investigations, standards development, technical education",
https://getinvolved.tamu.edu/org/ammsa,ammsa,"The journey through medical school is a time of unprecedented change, challenges, as well as personal development. The Muslim Medical Student Association hopes to create an environment and support system for those seeking spiritual enrichment, advocacy, and social support. The organization hopes to promote interfaith activities with other organizations to promote a more culturally aware and understanding environment for all within the Texas A&M Health community and beyond.",,Professional Students
https://getinvolved.tamu.edu/org/aiche,aiche,"The Texas A&M University Student Chapter of AIChE is dedicated to providing members with experiences that go beyond the usual classroom education. As a professional society, we arrange opportunities for students to build contact networks and see ""real world"" applications of a chemical engineering degree in industry through plant trips, speaker meetings, and our annual chemical engineering conference. As a student organization, we help develop leadership skills and provide members many occasions in which to practice and improve their teamwork through social and community service activities.","chemical engineering, guest speakers, industry experience, leadership development, plant trips, professional networking, professional society, teamwork","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students"
https://getinvolved.tamu.edu/org/ams,ams,"-To promote interactions among graduate students at Texas A&M University (TAMU), to share their interests and experiences in mathematics. -To contribute to a rich social life in the TAMU Mathematics department through cultural and scientific dialogue. -To provide an environment where graduate students at TAMU can practice their presentation skills as well as view the techniques of others. -To promote interactions with graduate students and faculty members outside of Texas A&M both by supporting travel to academic institutions and research institutions and by inviting visitors to Texas A&M. -To generate interest in participating in AMS sponsored activities.","mathematics, presentation skills, research, scientific dialogue",
https://getinvolved.tamu.edu/org/tamu-arc,tamu-arc,"The Texas A&M American Red Cross Club is committed to advancing the mission of the American Red Cross by preparing for and responding to local needs through disaster relief, blood drives, health and safety education, and community outreach. In partnership with the Bryan/College Station chapter, we empower students to serve with compassion, leadership, and purpose.","community service, volunteering",
https://getinvolved.tamu.edu/org/theambassadors,theambassadors,To represent and promote the ideals of the George Bush School of Government & Public Service by cultivating principled leaders modeled after the 41st Prersident's emphasis on the noble calling of public service.,"Bush School, government, leadership, public service, student ambassadors","Undergraduate Students, Graduate Students"
https://getinvolved.tamu.edu/org/2998,2998,The APSA Chapter at Texas A&M College of Medicine is committed to upholding the policies and values of the institution and to supporting the mission of the National American Physician Scientists Association (APSA). This chapter is established to promote the physician-scientist career path and to inspire students with a passion for medicine to engage in research that advances healthcare and scientific understanding.,,"Undergraduate Students, Professional Students, Graduate Students, Distance/Remote Students"
https://getinvolved.tamu.edu/org/aade,aade,Educate engineering students about the technical aspects of drilling engineering and current drilling practices.,"drilling engineering, educate, engineers, technical aspects","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/azx,azx,"We are a women's organization at Texas A&M University dedicated to sisterhood, social, service, and philanthropy. Our philanthropies are the Aggieland Humane Society and the Sexual Assault Resource Center. We strive to provide a fun sisterhood and serve our surrounding community.","philanthropy, service, sisterhood, social","Undergraduate Students, Graduate Students, Blinn Team Students"
https://getinvolved.tamu.edu/org/amsa,amsa,"AMSA is an organization whose purpose is to educate the premedical undergraduate student about current issues in medicine, to provide the student with opportunities to develop a world perspective, and gain valuable experience through serving those truly in need in our community.","medicine, pre-medical, pre-professional, volunteering","Undergraduate Students, Professional Students, Graduate Students"
https://getinvolved.tamu.edu/org/aans,aans,"The purpose of this organization is in accordance with the objectives of the national American Association of Neurological Surgeons (AANS). These are to expose and educate medical students on a career in neurosurgery. This can include educational, research, networking, social, and community service events.",,
https://getinvolved.tamu.edu/org/aiga,aiga,"The Design Group is committed to engaging TAMU students in the principles and value of design within community, cultural, and professional settings. We host professional events, such as industry guest speakers, portfolio and resume reviews, and Adobe Creative Suite workshops. We also host fun social nights, such as poster design challenges, button making workshops, and collabs with other organizations. The Design Group is open and welcoming to designers of all skill-levels. If you're looking to advance your professional career in design or just lean into an outside hobby, AIGA TAMU is the place for you!","design, graphic arts, graphic design, guest speakers, portfolio reviews, professional events, resumes, workshops",
https://getinvolved.tamu.edu/org/polymer,polymer,"The ACS POLY/PMSE student chapter @TAMU will provide networking, career development and opportunities for students and post-doctoral associates in the polymer field. Also, through this student chapter, students can get opportunities to meet other graduate students, faculties, government lab researchers, and industrial employees and administrators in both professional and social environments.","career development, polymer science, professional networking, student chapters",
https://getinvolved.tamu.edu/org/arma,arma,"ARMA-TAMU Student Chapter's missions and visions are: 1) to provide a forum for collaboration among students, faculty, and others with an interest in rock mechanics and geo-engineering; 2) to encourage participation in professional and academic pursuits in the discipline; 3) to contribute to and benefit from ARMA programs and activities, including dissemination of information through presentations, meetings, publications, and topical symposia. The formation of this organization at Texas A&M University will help promote student interest and research in rock mechanics and will allow our students the opportunity to network with professionals in rock mechanics community to gain exposure and insight into this exciting field.","academic pursuits, collaboration, geo-engineering, presentations, professional networking, research, rock mechanics, student chapters","Undergraduate Students, Professional Students, Graduate Students, Part-Time Students, Distance/Remote Students, Faculty/Staff"
https://getinvolved.tamu.edu/org/aiaa,aiaa,"The AIAA Student Chapter at Texas A&M University College Station is committed to helping students with personal and professional development in the aerospace industry, as well as giving back to the surrounding community. We provide members with opportunities to interact with professional engineers from industry-leading companies, relax and have fun with fellow students at social events, and participate in various community service and STEM outreach programs.","aeronautics, astronautics, community service, engineering, professional development, professional networking, STEM, student chapters","Undergraduate Students, Graduate Students"
https://getinvolved.tamu.edu/org/abwa,abwa,"To bring together businesswomen of diverse occupations and to provide opportunities for them to help themselves and others grow personally and professionally through leadership, education, networking support, and national recognition.","business, education, leadership, personal growth, professional development, professional networking","Undergraduate Students, Professional Students, Graduate Students"
https://getinvolved.tamu.edu/org/aavp,aavp,"The mission of the AAVP TAMU is to lead and partner with our members in advancing veterinary parasitology education, research, practice and service to improve human and animal health.","education, parasitology, research, student chapters, veterinary","Undergraduate Students, Professional Students, Graduate Students"
https://getinvolved.tamu.edu/org/aias,aias,"The mission of the American Institute of Architecture Students is to promote excellence in architectural education, training, and practice; to foster an appreciation of architecture and related disciplines; to enrich communities in a spirit of collaboration; and to organize architecture students and combine their efforts to advance the art and science of architecture.","architecture, collaboration","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students, Distance/Remote Students"
https://getinvolved.tamu.edu/org/aauw,aauw,"Hey girl!! Welcome to AAUW at Texas A&M! We are a women's org all about uplifting each other, whether it is throughcareer workshops, flower bouquet socials, movie nights, or even free Plan B distributionon campus (yes we got you). Fromphilanthropy and fundraisingtoleadership opportunitiesand alow maintenance point system(because we know life gets busy), there is a place for every kind of woman here including you. You also get to enjoy ourgrand End of Year Formalwith pinterest inspired themes, frequent profit shares where we grab dinner together, and yes, your membership comes with afree shirt. The coolest thing we do by far though is NCCWSL: Every year, we send four to five members toWashington DC for a fully paidwomen's leadership conference, and1 seat is reserved for new members! Dues - $45If you are worried about dues, weoffer semester-long payment plansandreduced dues for returning members. Most importantly, we make sure you get your money's worth through our events, socials, and resources. Girls graduate every semester, soleadership positions open up all the time, and we love seeing our members grow into those roles so please give us a try! Whether you are into organizing, social justice, networking, relaxing with friends, or just looking for a community that genuinely cares, you will find connections in every field and a diverse group of women who are ready towelcome you at any point in the year (rolling admission!). So come hang out. Join a meeting. Say hi.We cannot wait to meet you♥","advocacy, career development, community support, leadership, philanthropy, skill development, social activities, women's health, women empowerment","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/ans,ans,to provide members professional development; to contribute to the development of nuclear science and technology; to enhance public awareness of nuclear science and energy.,"career development, energy, engineering, health physics, materials, nuclear science, nuclear technologies, physics, power engineering, professional development, sciences, STEM, technology","Undergraduate Students, Professional Students, Graduate Students, Blinn Team Students, Part-Time Students"
https://getinvolved.tamu.edu/org/amc-guard,amc-guard,The AMC Guard is composed of juniors and seniors in the Corps of Cadets who make themselves available to render honors to military veterans and Aggie alumni through a variety of honor guard details.,"Corps of Cadets, honor guard, military, veterans",
https://getinvolved.tamu.edu/org/asb,asb,"The purpose of ASB is to move enthusiastic, giving students from being heartfelt volunteers toward becoming active, life-long citizens and leaders for social change, committed to social justice.","citizenship, community service, leadership, social justice, volunteering","Undergraduate Students, Graduate Students, Part-Time Students"
